E2F1,E2F1errors,E2F4,E2F4errors
-1.97E-02,0.007750706,6.03E-03,0.005829869
0.064066604,0.006654418,-0.030838308,0.030388622
-0.11472204,0.007067941,-0.101230394,0.027080878
0.058350715,0.008110408,0.042455794,0.025696353
0.034091515,0.004586838,-0.06287381,0.027480143
0.040136667,0.008028317,0.030302915,0.024564006
-0.150396041,0.005930137,-0.089789795,0.028720849
0.059934651,0.005658622,0.012158858,0.024786028
-0.022628262,0.007276006,-0.051726712,0.02638669
-0.039166999,0.005550734,-0.016953096,0.027111562
-0.09416199,0.005179461,-0.092052217,0.028176984
0.139724043,0.007394956,0.050530192,0.023766199
0.004311111,0.004160686,-0.074439049,0.027272673
-0.060161435,0.008989772,-0.036474529,0.026073188
-0.104454996,0.005731498,-0.057369598,0.029344665
0.144072112,0.009168615,0.058081344,0.023343987
0.026981587,0.007089059,-0.049477154,0.026975276
-0.014001979,0.005585123,-0.029297718,0.026667692
-0.124507734,0.004956328,-0.066338926,0.027062161
0.095294918,0.008351823,0.034911965,0.025041949
-0.001950116,0.006803782,-0.062383482,0.030519222
-0.033585096,0.006542889,-0.017258331,0.022290782
-0.072912402,0.004088333,-0.006779225,0.026305985
0.092214407,0.005420183,-0.023780794,0.026443797
0.063563946,0.004752591,-0.042900689,0.026786027
-0.037048659,0.005655511,-0.006477058,0.026205374
-0.105054202,0.00540351,-0.055118103,0.027038964
0.062305707,0.010012095,-0.005705983,0.025857673
0.038298496,0.009758759,-0.055921039,0.028515992
-0.06649829,0.005290764,-0.020172463,0.025768223
-0.101717405,0.006720729,-0.047623452,0.024263963
0.11368399,0.007810921,0.01351512,0.027104534
0.082669255,0.007110229,-0.029453643,0.025089014
-0.047691136,0.009226295,0.01647591,0.026418642
-0.12581346,0.006323894,-0.045072114,0.027036144
0.074602132,0.010796304,-0.052151986,0.027819019
0.153917378,0.008183543,-0.052131034,0.026780395
-0.148825702,0.006445354,-0.01748114,0.022539198
-0.066709193,0.007566213,-0.009286164,0.026907122
0.045384309,0.008376495,-0.031303495,0.029658283
0.280207198,0.011183813,0.010326677,0.025543826
-0.328198326,0.003803514,-0.093393349,0.027053648
-0.24216473,0.007310454,-0.058206491,0.027940677
0.27392265,0.007277535,0.031071331,0.024938442
0.311336903,0.007852505,0.162928371,0.02086426
-0.488359111,0.004898171,-0.303082029,0.032908762
