GCGC,GCGCerrors,GCGG,GCGGerrors
0.001292842,0.001272448,-0.005630107,0.00132577
-0.00054159,0.001242765,0.005171346,0.001341319
-0.015719668,0.000499814,0.001628051,0.000990451
0.014968416,0.001150124,-0.00116929,0.001529734
-0.007517438,0.000797269,-0.00767506,0.000859776
0.012280875,0.000859694,0.00470937,0.001032071
-0.013193777,0.000334507,0.000658186,0.001260986
0.00843034,0.000997944,0.002307504,0.001409719
-0.005170334,0.00085403,-0.018179178,0.001302553
0.002301163,0.000888726,0.005710997,0.00117124
-0.013708957,0.000549695,-0.005046012,0.00072891
0.016578128,0.000655582,0.017514193,0.001075193
-0.009990967,0.001123338,0.011525267,0.000907162
-0.001932959,0.001054801,-0.003830268,0.000944689
-0.0062299,0.000787403,-0.00300634,0.001271218
0.018153826,0.000883719,-0.004688659,0.000692926
-0.004671491,0.000875343,-0.013507645,0.001223467
-0.000340228,0.001071727,0.004402199,0.000983767
-0.008260327,0.000749373,-0.005431486,0.001259221
0.013272046,0.000671837,0.014536932,0.001650273
-0.007271892,0.001266557,0.000709384,0.000813805
0.002035005,0.00076009,0.006872697,0.000770276
0.004409318,0.000979372,0.000964275,0.001005419
0.00082757,0.000476082,-0.008546356,0.001410673
-0.003295738,0.000889124,-0.015812586,0.000923751
0.00453805,0.001094397,0.003186445,0.001053164
-0.005880768,0.000675615,0.000263876,0.000959914
0.004638456,0.000994966,0.012362265,0.001459809
-0.005955876,0.000854865,0.001377112,0.001016055
0.001559789,0.00086416,0.007833969,0.001108958
-0.004384917,0.000633973,-0.005210324,0.001117487
0.008781004,0.00110277,-0.004000757,0.001218518
-0.000461831,0.001142673,-0.007477015,0.000796852
0.00940372,0.001076468,0.005680355,0.001280777
-0.003743446,0.001014822,0.005255343,0.001313659
-0.005198443,0.00109951,-0.003458684,0.001301204
-0.005250624,0.000768945,-0.002115436,0.000674639
0.001959352,0.001174553,-6.06E-05,0.001097797
0.003916499,0.001073489,0.012649016,0.001089286
-0.000625227,0.000998602,-0.010472964,0.000928578
0.008068802,0.000554251,0.011195084,0.00132307
-0.014042274,0.000689083,-0.022379945,0.001428642
-0.006524393,0.000963202,-0.011469173,0.001180042
0.012497866,0.000860693,0.022654034,0.001517369
0.040481075,0.000474682,0.045909664,0.000986682
-0.058649025,0.000365552,-0.044944802,0.000843274
-0.018446154,0.000540874,-0.037488021,0.001587171
0.036614103,0.000566536,0.03652316,0.001298703
0.047910941,0.000661342,0.053421244,0.001634223
-0.075440388,0.000712089,-0.064724477,0.001790893
0.029696632,0.000640458,0.026749225,0.001119653
-0.002167184,0.000771387,-0.015445992,0.001523748
-0.017561197,0.000728244,-0.038238825,0.001093249
-0.005145829,0.000709801,-0.039221719,0.00068963
-0.014928783,0.000818351,0.025948692,0.001170881
0.037635809,0.00115123,0.051511851,0.001386973
-0.036934373,0.000421726,-0.023144947,0.001240755
0.035843171,0.000483018,0.031907772,0.001452627
0.104467443,0.00055639,0.006274659,0.001491633
-0.10337624,0.001014758,-0.015037484,0.002022579
-0.064374702,0.001700631,-0.062356016,0.001738624
0.074769197,0.000695161,-0.013972174,0.001185297
0.060684872,0.00086536,0.083461586,0.000928096
-0.071079366,0.000435404,-0.007133395,0.000631636
0.018442003,0.00102633,0.010117685,0.001123188
0.056495945,0.000724755,0.013170492,0.001438599
-0.045995975,0.000997121,-0.021542549,0.001232464
-0.028941973,0.000385361,-0.001745628,0.001157916
-0.014923778,0.000957311,0.024190576,0.001300714
0.020952913,0.00067471,-0.008057999,0.001273288
-0.060999542,0.000875307,-0.034759851,0.001063246
0.054970407,0.00058278,0.018627274,0.000939153
0.020161743,0.000880847,0.014760562,0.001243783
-0.020474565,0.000706593,-0.01998768,0.000694101
-0.04049693,0.0005476,-0.03953179,0.000670008
0.040809753,0.000787959,0.044758908,0.001212266
0.019157418,0.000969299,0.006894345,0.001337018
-0.00061063,0.000981644,-0.005535053,0.000979823
-0.015782777,0.000945275,-0.010656494,0.00105157
-0.002764012,0.001004913,0.009297202,0.001069303
-0.014915076,0.00081751,-7.97E-05,0.000586824
0.007065377,0.000911197,-0.002883519,0.001227876
0.011730441,0.000824583,-0.007184392,0.000928949
-0.003880741,0.000976697,0.010147584,0.001154303
0.00724086,0.001032969,-0.002481741,0.000725628
-0.003561629,0.001044129,0.000748631,0.001261575
0.000115656,0.000894336,0.000668246,0.000621892
-0.003794888,0.000697521,0.001064864,0.000453319
-0.005280597,0.000946523,0.008710005,0.00096792
-0.001564686,0.000708025,-0.008685102,0.001561976
0.008592854,0.000685186,0.001320029,0.000999757
-0.001747571,0.001164666,-0.001344931,0.00138579
0.001948445,0.001159107,0.007768061,0.00157983
0.004189158,0.00106354,0.003103454,0.001615585
0.003953181,0.000605339,-0.000715944,0.001071223
-0.010090784,0.001166445,-0.010155571,0.001362875
-0.001089778,0.00073595,-0.002484374,0.001075678
-0.002646077,0.000602016,0.004485489,0.000928149
0.006712781,0.000524978,0.000767696,0.001277928
-0.002976926,0.000879503,-0.002768812,0.001217533
0.014122659,0.000749916,0.009459386,0.001145031
-0.011831033,0.000690852,-0.005468054,0.001560853
0.001059688,0.000827325,-0.002278023,0.001234456
-0.003351313,0.001195376,-0.001713308,0.000499533
-0.001418312,0.000685342,0.013871961,0.000621418
0.006656615,0.000712024,-0.003254402,0.000959547
-0.004277014,0.000783397,-0.013391128,0.000839439
-0.000961288,0.001180912,0.002773568,0.001216608
0.016362339,0.001076149,0.007928713,0.00125288
-0.017929419,0.000750206,-0.007915877,0.000758711
0.008889574,0.00058793,-0.003947701,0.001165044
-0.007322494,0.000666841,0.003934865,0.001601375
0.013968538,0.001381822,0.023253919,0.00100784
-0.00643296,0.000803399,-0.015051478,0.001909998
-0.005912113,0.000982089,-0.01185497,0.001372514
-0.001623465,0.000796485,0.003652528,0.000814491
0.01657958,0.000868568,0.021388467,0.002039237
-0.009291488,0.000778699,-0.02093615,0.001109708
-0.005209615,0.000470799,0.000317816,0.001014906
-0.002078477,0.000931923,-0.000770134,0.001013444
0.007874844,0.002131484,0.004244327,0.001795505
-0.016289505,0.00147205,-0.012786394,0.001734707
-0.007423218,0.00159099,-0.00358728,0.00302007
0.001324425,0.001430636,-0.009802071,0.001531346
-0.004175747,0.001048525,-0.003843959,0.001950748
0.0219951,0.001084494,0.008407288,0.001619734
0.020886622,0.001710083,0.010982705,0.001283284
0.001244791,0.001381307,-0.00370136,0.001656301
0.00393685,0.00183873,-0.006831316,0.001225737
-0.002504241,0.002020698,-0.002745986,0.002691752
-0.009142824,0.002311668,0.00268048,0.002161135
-0.007309682,0.0020611,-0.004366878,0.001670398
-0.000452497,0.001203481,-0.002155859,0.001737512
-0.002662353,0.001645228,0.005936043,0.002277934
-0.003525936,0.001802465,0.000621023,0.002574119
-0.002483788,0.001921227,0.01131913,0.002178368
-0.022865347,0.001318373,0.001109333,0.0021172
0.006929003,0.002291337,-0.003242998,0.003016093
0.010747052,0.001598249,-0.01354239,0.002121914
0.00080829,0.00173777,0.012300725,0.001713714
-0.008550924,0.002316025,-0.005849834,0.001728142
-0.007687369,0.0022202,0.010149336,0.002002704
-0.010510648,0.002218023,-0.006300612,0.002114447
0.002795871,0.001705225,0.008771987,0.001183438
0.001807797,0.001404294,0.013022481,0.002108544
0.005430852,0.001904854,0.009629785,0.001932149
0.002125405,0.002091126,0.002543368,0.001644907
0.02052117,0.002401477,-0.004410852,0.002149147
-0.007536174,0.002800934,-0.007500499,0.000964279
-0.005067711,0.002179979,0.015725918,0.001809669
0.006170818,0.002067118,-0.015236979,0.001504643
0.004340325,0.002388599,-0.011997422,0.002303773
